	Entrez Gene ID
INHBB	3625
MELTF	4241
CSRP2	1466
SIM1	6492
SLC2A1	6513
ZNF335	63925
GDF3	9573
FN1	2335
MET	4233
MST1	4485
LCAT	3931
GRIA4	2893
GRIA3	2892
ST3GAL1	6482
BFSP2	8419
E2F1	1869
CNGA1	1259
CNGA3	1261
INS	3630
GCH1	2643
ACTR2	10097
RPS6	6194
CNTN4	152330
OVST	396151
RUNX1	861
RAB2A	5862
VLDLR	7436
CKR2	396155
SMC2	10592
NTRK2	4915
MYBL1	4603
ST6GALNAC2	10610
WNT1	7471
HPCAL1	3241
HIC1	3090
BMP4	652
RBP4A	396166
CCNB3	85417
ST6GALNAC1	55808
ST6GAL1	6480
LRP1	4035
YAP1	10413
CCNA2	890
GABRE	2564
MAP1B	4131
CD8BP	396175
CSRP1	1465
EPHB1	2047
HOXD12	3238
EPHB3	2049
SNRPE	6635
ITGB2	3689
HHEX	3087
CEBPB	1051
BDNF	627
MYO1F	4542
HSP90AB1	3326
VSNL1	7447
UBB	7314
TFRC	7037
ROS1	6098
RAN	5901
RNASE6	6039
SRSF2	6427
GCG	2641
ALB	213
PGR	5241
PARP1	142
TP53	7157
NCL	4691
NRCAM	4897
NPM1	4869
CCN3	4856
NFYB	4801
NEFM	4741
NFIX	4784
NFIC	4782
NFIB	4781
NFIA	4774
MYH11	4629
MT4	84560
TNR	7143
PLP1	5354
MYL9	10398
CSF3	1440
MBP	4155
LYZ	4069
LPL	4023
LAMP1	3916
LDHA	3939
LMNB2	84823
LMNB1	4001
LMNA	4000
ITGA8	8516
ITGA6	3655
HSPB1	3315
SERPINH1	871
HRAS	3265
HOXB4	3214
RXRG	6258
HMGB3	3149
H3F3B	396233
SPCS3	60559
ETS1	2113
DMD	1756
MYO5A	4644
YES1	7525
BRAF	673
CAPN11	11131
TF	7018
COL9A3	1299
COL1A2	1278
MYB	4602
RAF1	5894
FABP7	2173
BZFP1	396247
CKB	1152
CD28	940
ETS2	2114
THRA	7067
CDK1	983
TUBB	203068
CALB2	794
CALCA	796
CA2	760
MYBL2	4605
FGFR2	2263
AVD	396260
GOT1	2805
RPLP1	6176
ACTN2	88
ARF5	381
RARB	5915
FGF3	2248
HNRNPAB	3182
SRL	6345
INCENP	3619
SLC2A2	6514
GSC	145258
CTCF	10664
P2RY1	5028
COL14A1	7373
TTR	7276
SST	6750
RPL27	6155
PTHLH	5744
BCL2	596
PNAT10	396283
MYL12A	10627
LBR	3930
ASMT	438
HMOX1	3162
GABRQ	55879
GABRG2	2566
GABRB3	2562
PLS1	5357
COL6A2	1292
FYN	2534
BTG1	694
ANXA2	302
TAL1	6886
KBP	396300
HOXD8	3234
NOTO	344022
RNF13	11342
THBS4	7060
FGA	2243
BMPR1A	657
ANK3	288
ANK1	286
LMX1B	4010
FGF8	2253
PRRX2	51450
IGFBP2	3485
HMGCL	3155
ALPL	249
GPR50	9248
MTNR1A	4543
TECTB	6975
CHRNA6	8973
GSTT1	2952
VIP	7432
ACVR2A	92
EEF2	1938
C5H14orf166	396326
SYT2	127833
KCNJ2	3759
CTSB	1508
IRF7	3665
SEMA4D	10507
SEMA3D	223117
PKIA	5569
TCF12	6938
KTN1	3895
NCS1	23413
NTRK1	4914
MTNR1B	4544
TGIF1	7050
COL3A1	1281
CCND1	595
TEF	7008
SDC3	9672
PRSS2	5645
PRSS3	5646
SOHO1	396346
LOC396347	396347
BGLAP	632
MAP2K2	5605
DNTT	1791
P22	396352
NREP	9315
MYLK2	85366
LOC396357	396357
SYP	6855
SLMAP	7871
INHBA	3624
IAPP	3375
TPT1	7178
CHRM3	1131
LOC396365	396365
TPM1	7168
GNAI2	2771
GNAI1	2770
